,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
558,1340676490510393347,2020-12-20 15:12:38+00:00,1125440833099112448,1340606630145253376,1683455144,5.0
560,1340676837039595520,2020-12-20 15:14:01+00:00,476053480,1340427316573462530,1063806444380798976,95.0
561,1340677009098366977,2020-12-20 15:14:42+00:00,1086702385,1340648491782197248,1192636619167322112,7.5
562,1340677133081960450,2020-12-20 15:15:11+00:00,2374538570,1340670077927116800,1032615842,20.0
563,1340677551736430593,2020-12-20 15:16:51+00:00,1025496103632941056,1340427316573462530,1063806444380798976,95.0
565,1340678318602014720,2020-12-20 15:19:54+00:00,915969295,1340677585316012032,57358236,95.0
566,1340678375057354753,2020-12-20 15:20:07+00:00,955259736227803136,1340606630145253376,1683455144,5.0
567,1340678400315445250,2020-12-20 15:20:13+00:00,753292926189445121,1340677585316012032,57358236,95.0
569,1340678699180539904,2020-12-20 15:21:25+00:00,1215270813781450753,1340606630145253376,1683455144,5.0
570,1340678960703811586,2020-12-20 15:22:27+00:00,389076701,1340407659460227073,1006439924701245441,80.0
571,1340679080396648452,2020-12-20 15:22:56+00:00,994148481773309957,1340672599429410816,1050141832758341632,25.0
572,1340679535239446530,2020-12-20 15:24:44+00:00,3295067231,1340676709780250629,986564732,95.0
573,1340679667527917568,2020-12-20 15:25:16+00:00,1265542837724221443,1340670077927116800,1032615842,20.0
574,1340679752827355136,2020-12-20 15:25:36+00:00,96195285,1340676709780250629,986564732,95.0
577,1340680216105148422,2020-12-20 15:27:26+00:00,476053480,1340677585316012032,57358236,95.0
579,1340680520838107137,2020-12-20 15:28:39+00:00,1273265383,1340648596262281217,776465110856589312,95.0
583,1340680788367601665,2020-12-20 15:29:43+00:00,1296134026282115077,1340677585316012032,57358236,95.0
584,1340680963886632961,2020-12-20 15:30:25+00:00,832999521739214848,1340620740463345664,82071060,5.0
585,1340680987420835840,2020-12-20 15:30:30+00:00,1159853921227198464,1340428826694852609,372937945,5.0
586,1340681329516703744,2020-12-20 15:31:52+00:00,875339752513449986,1340676709780250629,986564732,95.0
588,1340681572824080384,2020-12-20 15:32:50+00:00,982582749390426113,1340427316573462530,1063806444380798976,95.0
589,1340681576674451462,2020-12-20 15:32:51+00:00,893088899043557376,1340395574340796417,2806038415,77.5
590,1340681996348088322,2020-12-20 15:34:31+00:00,846733654592307204,1340676709780250629,986564732,95.0
596,1340683252378562574,2020-12-20 15:39:30+00:00,229417740,1340680552840646663,405066123,95.0
597,1340683272855171073,2020-12-20 15:39:35+00:00,2564051176,1340676709780250629,986564732,95.0
598,1340683316354297862,2020-12-20 15:39:45+00:00,440247035,1340670077927116800,1032615842,20.0
603,1340683382762708992,2020-12-20 15:40:01+00:00,1015440260,1340676709780250629,986564732,95.0
605,1340683644990578688,2020-12-20 15:41:04+00:00,515638711,1340680552840646663,405066123,95.0
